classe_3,classe_2,classe_1
CHUVAS INTENSAS,CHUVAS INTENSAS,Meteorológicos e Climáticos
VENDAVAL,VENDAVAL,Meteorológicos e Climáticos
VENDAVAL MUITO INTENSO,VENDAVAL,Meteorológicos e Climáticos
VENDAVAL EXTREMAMENTE INTENSO,VENDAVAL,Meteorológicos e Climáticos
GRANIZO,GRANIZO,Meteorológicos e Climáticos
GRANIZOS,GRANIZO,Meteorológicos e Climáticos
GEADA,GEADA,Meteorológicos e Climáticos
GEADAS,GEADA,Meteorológicos e Climáticos
GEADA¹,GEADA,Meteorológicos e Climáticos
ESTIAGEM,SECA,Meteorológicos e Climáticos
SECA,SECA,Meteorológicos e Climáticos
FRENTES FRIAS E ZONAS DE CONVERGÊNCIA,FRENTE FRIA,Meteorológicos e Climáticos
FRENTES FRIAS E ZONAS DE CONVERGÊNCIA¹,FRENTE FRIA,Meteorológicos e Climáticos
TORNADOS,TORNADO,Meteorológicos e Climáticos
TORNADO,TORNADO,Meteorológicos e Climáticos
TORNADOS¹,TORNADO,Meteorológicos e Climáticos
TEMPESTADE LOCAL/CONVECTIVA - CHUVAS INTENSAS,CHUVAS INTENSAS,Meteorológicos e Climáticos
TEMPESTADE LOCAL/CONVECTIVA - VENDAVAL,VENDAVAL,Meteorológicos e Climáticos
TEMPESTADE LOCAL/CONVECTIVA - GRANIZO,GRANIZO,Meteorológicos e Climáticos
TEMPESTADE LOCAL/CONVECTIVA - TORNADOS,TORNADO,Meteorológicos e Climáticos
CICLONES - MARÉS DE TEMPESTADE (RESSACAS),RESSACA,Meteorológicos e Climáticos
MARÉS DE TEMPESTADE (RESSACAS),RESSACA,Meteorológicos e Climáticos
DESLIZAMENTOS DE SOLO E/OU ROCHA,DESLIZAMENTO,Geológicos e de Solo
DESLIZAMENTOS,DESLIZAMENTO,Geológicos e de Solo
DESLIZAMENTOS DE SOLO E OU ROCHA,DESLIZAMENTO,Geológicos e de Solo
EROSÃO DE MARGEM FLUVIAL,EROSÃO,Geológicos e de Solo
EROSÃO CONTINENTAL BOÇOROCAS,EROSÃO,Geológicos e de Solo
EROSÃO CONTINENTAL LAMINAR,EROSÃO,Geológicos e de Solo
EROSÃO CONTINENTAL LAMINAR¹,EROSÃO,Geológicos e de Solo
EROSÃO CONTINENTAL - BOÇOROCAS,EROSÃO,Geológicos e de Solo
EROSÃO CONTINENTAL RAVINAS,EROSÃO,Geológicos e de Solo
EROSÃO LINEAR,EROSÃO,Geológicos e de Solo
EROSÃO LAMINAR,EROSÃO,Geológicos e de Solo
EROSÃO COSTEIRA OU MARINHA,EROSÃO,Geológicos e de Solo
EROSÃO FLUVIAL,EROSÃO,Geológicos e de Solo
EROSÃO MARINHA,EROSÃO,Geológicos e de Solo
DEPREDAÇÃO DO SOLO,OUTRO,Geológicos e de Solo
SUBSIDÊNCIA E COLAPSOS,OUTRO,Geológicos e de Solo
CORRIDA DE MASSA SOLO OU LAMA,OUTRO,Geológicos e de Solo
CORRIDA DE MASSA SOLO/LAMA,OUTRO,Geológicos e de Solo
CORRIDAS DE MASSA - SOLO/LAMA,OUTRO,Geológicos e de Solo
"QUEDAS, TOMBAMENTOS E ROLAMENTOS DE MATACÕES",OUTRO,Geológicos e de Solo
TREMOR DE TERRA,OUTRO,Geológicos e de Solo
"DERRAMAMENTO DE PRODUTOS QUÍMICOS EM AMBIENTE LACUSTRE, FLUVIAL, MARINHO E AQUÍFEROS",POLUIÇÂO,Químicos e Ambientais
LIBERAÇÃO DE PRODUTOS QUÍMICOS NOS SISTEMAS DE ÁGUA POTÁVEL,POLUIÇÂO,Químicos e Ambientais
LIBERAÇÃO DE PRODUTOS QUÍMICOS PARA A ATMOSFERA CAUSADA POR EXPLOSÃO OU INCÊNDIO,POLUIÇÂO,Químicos e Ambientais
RISCO DE POLUIÇÃO PROVOCADA POR MORTALIDADE DE ANIMAIS,POLUIÇÂO,Químicos e Ambientais
INTENSA POLUIÇÃO PROVOCADA POR DEJETOS E OUTROS POLUENTES,POLUIÇÂO,Químicos e Ambientais
INCÊNDIOS EM ÁREAS PROTEGIDAS,INCÊNDIO,Incêndios
INCÊNDIOS EM ÁREAS PROTEGIDAS¹,INCÊNDIO,Incêndios
INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS,INCÊNDIO,Incêndios
INCÊNDIO FLORESTAL,INCÊNDIO,Incêndios
INCÊNDIOS FLORESTAIS,INCÊNDIO,Incêndios
INCÊNDIO URBANO,INCÊNDIO,Incêndios
INCÊNDIOS EM ALGOMERADOS RESIDENCIAIS,INCÊNDIO,Incêndios
INCÊNDIOS EM AGLOMERADOS RESIDENCIAIS¹,INCÊNDIO,Incêndios
INCÊNDIOS EM AGLOMERADOS RESIDENCIAIS,INCÊNDIO,Incêndios
DESEMPREGO GENERALIZADO,SOCIAL,Humanos e Sociais
TUMULTOS E DESORDEM GENERALIZADA,SOCIAL,Humanos e Sociais
MIGRAÇÕES INTENSAS E DESCONTROLADAS,SOCIAL,Humanos e Sociais
DANIFICAÇÃO OU DESTRUIÇÃO DE OBRAS DE ARTE,SOCIAL,Humanos e Sociais
